Id,Name,Birthdate,Handedness,School,Draft,Year,Team,Age,Pos.,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
10008,김선빈,1989년 12월 18일,우투우타,화순초-화순중-화순고,08 KIA 2차 6라운드 43순위,2022,KIA,33,2B,140,3.47,-0.25,587,579,505,51,145,23,0,3,177,61,13,2,65,6,0,47,14,7,3,0.287,0.373,0.35,0.723,0.127,109.9,3.22
10008,김선빈,1989년 12월 18일,우투우타,화순초-화순중-화순고,08 KIA 2차 6라운드 43순위,2023,KIA,34,2B,119,2.92,-0.21,473,465,419,41,134,16,0,0,150,48,3,1,38,5,0,26,10,8,3,0.32,0.381,0.358,0.739,0.132,114.9,2.71
10008,김선빈,1989년 12월 18일,우투우타,화순초-화순중-화순고,08 KIA 2차 6라운드 43순위,2024,KIA,35,2B,116,3.06,-0.6,466,458,423,48,139,23,0,9,189,57,5,1,30,5,0,39,13,7,0,0.329,0.38,0.447,0.827,0.156,117.4,2.46
10008,김선빈,1989년 12월 18일,우투우타,화순초-화순중-화순고,08 KIA 2차 6라운드 43순위,2025,KIA,36,2B,84,2.74,-0.63,308,306,271,31,87,18,1,3,116,46,4,0,31,3,0,35,9,2,1,0.321,0.395,0.428,0.823,0.162,136.6,2.11
10014,안치홍,1990년 07월 02일,우투우타,구리-대치중-서울고,09 KIA 2차 1라운드 1순위,2024,한화,34,DH,128,1.69,-0.31,533,531,473,64,142,21,0,13,202,66,3,2,49,6,1,70,10,1,4,0.3,0.37,0.427,0.797,0.146,107.9,1.38
10014,안치홍,1990년 07월 02일,우투우타,구리-대치중-서울고,09 KIA 2차 1라운드 1순위,2025,한화,35,DH,66,-1.37,0.03,196,191,174,9,30,4,0,2,40,18,3,0,16,1,2,39,4,4,1,0.172,0.245,0.23,0.475,0.028,22.5,-1.34
10082,이재원,1988년 02월 24일,우투우타,숭의초-상인천중-인천고,06 SK 1차,2022,SSG,34,C,105,0.29,-0.19,279,269,234,27,47,6,0,4,65,28,1,0,25,8,1,44,13,9,3,0.201,0.296,0.278,0.574,0.074,62.5,0.11
10082,이재원,1988년 02월 24일,우투우타,숭의초-상인천중-인천고,06 SK 1차,2024,한화,36,C,72,-0.22,-0.05,152,150,134,10,32,4,0,1,39,16,0,0,7,4,1,21,4,2,5,0.239,0.287,0.291,0.578,0.059,44.0,-0.28
10082,이재원,1988년 02월 24일,우투우타,숭의초-상인천중-인천고,06 SK 1차,2025,한화,37,C,98,-0.05,0.27,151,143,125,4,25,2,1,1,32,12,1,1,14,1,0,23,3,8,3,0.2,0.28,0.256,0.536,0.058,48.5,0.23
10106,최정,1987년 02월 28일,우투우타,대일초-평촌중-유신고,05 SK 1차,2022,SSG,35,3B,121,5.3,0.17,505,504,414,80,110,21,0,26,209,87,12,5,66,19,3,96,6,0,6,0.266,0.386,0.505,0.891,0.181,150.4,5.47
10106,최정,1987년 02월 28일,우투우타,대일초-평촌중-유신고,05 SK 1차,2023,SSG,36,3B,128,5.68,-0.26,552,547,471,94,140,31,0,29,258,87,7,3,59,15,6,87,12,1,6,0.297,0.388,0.548,0.936,0.189,157.6,5.42
10106,최정,1987년 02월 28일,우투우타,대일초-평촌중-유신고,05 SK 1차,2024,SSG,37,3B,129,4.79,-0.09,550,550,468,93,136,27,2,37,278,107,5,1,55,20,1,114,10,0,7,0.291,0.384,0.594,0.978,0.202,145.9,4.7
10106,최정,1987년 02월 28일,우투우타,대일초-평촌중-유신고,05 SK 1차,2025,SSG,38,DH,95,1.91,-0.5,406,402,340,54,83,12,0,23,164,63,1,0,51,12,6,94,10,0,3,0.244,0.36,0.482,0.842,0.157,126.5,1.41
10108,김강민,1982년 09월 13일,우투우타,본리초-대구중-경북고,01 SK 2차 2라운드 18순위,2022,SSG,40,CF,84,1.53,0.19,202,198,178,24,54,11,0,5,80,18,1,3,18,3,2,39,1,2,1,0.303,0.375,0.449,0.824,0.155,129.1,1.72
10108,김강민,1982년 09월 13일,우투우타,본리초-대구중-경북고,01 SK 2차 2라운드 18순위,2023,SSG,41,CF,70,0.21,-0.09,166,163,137,20,31,3,0,2,40,7,2,1,23,1,1,38,2,2,3,0.226,0.335,0.292,0.627,0.095,78.3,0.12
10108,김강민,1982년 09월 13일,우투우타,본리초-대구중-경북고,01 SK 2차 2라운드 18순위,2024,한화,42,CF,41,-0.17,0.19,87,87,76,5,17,0,0,1,20,7,0,0,8,3,0,21,1,0,0,0.224,0.322,0.263,0.585,0.08,58.8,0.02
10170,최재훈,1989년 08월 27일,우투우타,화곡초-덕수중-덕수고-방송통신대,08 두산 육성선수,2022,한화,33,C,114,1.83,0.47,437,431,364,38,81,14,0,5,110,30,1,1,44,21,0,65,17,5,2,0.223,0.339,0.302,0.641,0.105,90.9,2.3
10170,최재훈,1989년 08월 27일,우투우타,화곡초-덕수중-덕수고-방송통신대,08 두산 육성선수,2023,한화,34,C,125,3.13,0.2,417,407,327,23,81,12,0,1,96,33,1,1,56,23,1,48,9,9,2,0.248,0.392,0.294,0.686,0.131,111.6,3.33
10170,최재훈,1989년 08월 27일,우투우타,화곡초-덕수중-덕수고-방송통신대,08 두산 육성선수,2024,한화,35,C,116,1.75,0.13,348,340,280,34,72,10,0,4,94,37,0,0,33,21,0,58,10,8,6,0.257,0.371,0.336,0.707,0.131,96.6,1.88
10170,최재훈,1989년 08월 27일,우투우타,화곡초-덕수중-덕수고-방송통신대,08 두산 육성선수,2025,한화,36,C,121,3.45,-0.22,348,338,269,28,77,15,0,1,95,35,1,1,46,17,0,48,4,10,6,0.286,0.414,0.353,0.767,0.156,129.7,3.23
10182,최주환,1988년 02월 28일,우투좌타,광주학강초-광주동성중-광주동성고,06 두산 2차 6라운드 46순위,2022,SSG,34,2B,97,0.26,-0.53,333,332,298,36,63,14,2,9,108,41,0,0,29,4,2,55,5,0,2,0.211,0.288,0.362,0.65,0.093,77.5,-0.28
10182,최주환,1988년 02월 28일,우투좌타,광주학강초-광주동성중-광주동성고,06 두산 2차 6라운드 46순위,2023,SSG,35,2B,134,1.56,-0.56,478,474,426,48,100,24,0,20,184,63,0,0,44,4,4,94,6,1,3,0.235,0.31,0.432,0.742,0.12,99.3,1.0
10187,김현수,1988년 01월 12일,우투좌타,쌍문초-신일중-신일고,06 두산 육성선수,2022,LG,34,LF,141,4.67,-0.35,604,598,524,78,150,25,2,23,248,106,2,1,71,5,7,62,5,0,3,0.286,0.375,0.473,0.848,0.162,146.5,4.31
10187,김현수,1988년 01월 12일,우투좌타,쌍문초-신일중-신일고,06 두산 육성선수,2023,LG,35,DH,133,1.76,-0.07,556,555,488,53,143,22,2,6,187,88,2,1,58,1,4,53,10,1,8,0.293,0.364,0.383,0.747,0.13,114.4,1.69
10187,김현수,1988년 01월 12일,우투좌타,쌍문초-신일중-신일고,06 두산 육성선수,2024,LG,36,LF,137,1.52,-0.43,583,582,517,61,152,36,2,8,216,69,6,1,47,9,1,76,10,1,9,0.294,0.357,0.418,0.775,0.136,104.7,1.09
10187,김현수,1988년 01월 12일,우투좌타,쌍문초-신일중-신일고,06 두산 육성선수,2025,LG,37,LF,140,3.61,-0.24,552,552,483,66,144,24,0,12,204,90,4,0,64,4,1,73,10,0,1,0.298,0.384,0.422,0.806,0.156,133.1,3.36
10238,김민성,1988년 12월 17일,우투우타,고명초-잠신중-덕수정보고-영남사이버대,07 롯데 2차 2라운드 13순위,2022,LG,34,3B,92,-0.2,-0.27,157,154,140,16,29,4,0,3,42,20,0,1,10,3,0,27,4,3,1,0.207,0.273,0.3,0.573,0.066,59.4,-0.47
10238,김민성,1988년 12월 17일,우투우타,고명초-잠신중-덕수정보고-영남사이버대,07 롯데 2차 2라운드 13순위,2023,LG,35,2B,112,1.19,0.48,316,307,273,34,68,11,0,8,103,41,2,1,25,7,0,58,7,9,2,0.249,0.326,0.377,0.703,0.114,100.7,1.68
10249,오태곤,1991년 11월 18일,우투우타,쌍문초-신월중-청원고,10 롯데 3라운드 22순위,2022,SSG,31,LF,130,-0.1,0.58,295,290,263,48,61,14,1,4,89,23,11,4,15,9,1,68,3,5,3,0.232,0.293,0.338,0.631,0.087,72.5,0.48
10249,오태곤,1991년 11월 18일,우투우타,쌍문초-신월중-청원고,10 롯데 3라운드 22순위,2023,SSG,32,1B,123,0.42,-0.07,305,297,272,37,65,14,1,7,102,28,20,1,18,4,0,67,6,8,3,0.239,0.293,0.375,0.668,0.095,79.4,0.34
10249,오태곤,1991년 11월 18일,우투우타,쌍문초-신월중-청원고,10 롯데 3라운드 22순위,2024,SSG,33,1B,117,1.23,0.09,288,281,247,43,68,16,0,9,111,36,27,4,31,1,2,73,4,6,3,0.275,0.355,0.449,0.804,0.143,102.4,1.33
10249,오태곤,1991년 11월 18일,우투우타,쌍문초-신월중-청원고,10 롯데 3라운드 22순위,2025,SSG,34,1B,122,-0.26,-0.1,229,226,194,31,39,6,0,5,60,26,25,8,30,1,0,59,4,3,1,0.201,0.31,0.309,0.619,0.093,74.8,-0.36
10261,손아섭,1988년 03월 18일,우투좌타,양정초-개성중-부산고,07 롯데 2차 4라운드 29순위,2025,한화,37,DH,35,0.0,-0.05,149,147,132,18,35,9,0,1,47,17,0,1,13,1,0,26,2,2,1,0.265,0.333,0.356,0.689,0.11,91.0,-0.05
10312,이지영,1986년 02월 27일,우투우타,서화초-신흥중-제물포고-경성대,08 삼성 육성선수,2024,SSG,38,C,123,1.01,0.57,432,425,398,45,111,11,1,5,139,50,8,1,18,7,0,35,10,7,2,0.279,0.32,0.349,0.669,0.097,70.1,1.58
10312,이지영,1986년 02월 27일,우투우타,서화초-신흥중-제물포고-경성대,08 삼성 육성선수,2025,SSG,39,C,76,0.07,-0.13,216,212,197,13,47,6,1,3,64,18,2,1,11,2,0,22,8,4,2,0.239,0.283,0.325,0.608,0.073,58.6,-0.06
10344,최형우,1983년 12월 16일,우투좌타,진북초-전주동중-전주고,02 삼성 2차 6라운드 48순위,2022,KIA,39,DH,132,2.55,0.16,530,526,454,55,120,27,1,14,191,71,1,0,73,1,5,92,9,0,2,0.264,0.366,0.421,0.787,0.145,125.9,2.71
10344,최형우,1983년 12월 16일,우투좌타,진북초-전주동중-전주고,02 삼성 2차 6라운드 48순위,2023,KIA,40,DH,121,4.23,-0.38,508,508,431,64,130,27,1,17,210,81,0,0,65,8,1,83,5,0,4,0.302,0.4,0.487,0.887,0.183,159.4,3.85
10344,최형우,1983년 12월 16일,우투좌타,진북초-전주동중-전주고,02 삼성 2차 6라운드 48순위,2024,KIA,41,DH,116,1.88,-0.29,487,486,425,67,119,23,2,22,212,109,1,1,52,5,4,86,5,0,5,0.28,0.361,0.499,0.86,0.161,119.0,1.59
10344,최형우,1983년 12월 16일,우투좌타,진북초-전주동중-전주고,02 삼성 2차 6라운드 48순위,2025,KIA,42,DH,133,4.37,-0.01,549,545,469,74,144,30,1,24,248,86,1,0,67,8,8,98,9,0,5,0.307,0.399,0.529,0.928,0.186,157.6,4.37
10387,박동원,1990년 04월 07일,우투우타,양정초-개성중-개성고,09 히어로즈 2차 3라운드 19순위,2022,KIA,32,C,112,3.45,0.43,407,397,352,51,86,18,0,17,155,53,1,0,38,9,4,87,9,7,1,0.244,0.333,0.44,0.773,0.136,118.5,3.88
10387,박동원,1990년 04월 07일,우투우타,양정초-개성중-개성고,09 히어로즈 2차 3라운드 19순위,2023,LG,33,C,130,4.15,0.11,481,471,409,54,102,17,1,20,181,75,0,1,49,7,3,90,7,8,8,0.249,0.334,0.443,0.777,0.134,117.7,4.26
10387,박동원,1990년 04월 07일,우투우타,양정초-개성중-개성고,09 히어로즈 2차 3라운드 19순위,2024,LG,34,C,130,3.58,0.96,498,495,434,58,118,22,0,20,200,80,1,0,55,0,2,112,14,2,7,0.272,0.349,0.461,0.81,0.144,111.0,4.54
10387,박동원,1990년 04월 07일,우투우타,양정초-개성중-개성고,09 히어로즈 2차 3라운드 19순위,2025,LG,35,C,139,4.8,0.32,523,518,451,57,114,25,0,22,205,76,4,0,62,2,4,124,10,3,5,0.253,0.342,0.455,0.797,0.142,121.0,5.12
10459,김태군,1989년 12월 30일,우투우타,양정초-대동중-부산고-방송통신대,08 LG 2차 3라운드 17순위,2023,KIA,34,C,65,-0.08,-0.12,203,198,186,17,48,6,0,0,54,24,2,1,5,4,0,19,9,5,3,0.258,0.288,0.29,0.578,0.064,54.9,-0.2
10459,김태군,1989년 12월 30일,우투우타,양정초-대동중-부산고-방송통신대,08 LG 2차 3라운드 17순위,2024,KIA,35,C,105,0.85,0.32,270,259,235,24,62,7,0,7,90,34,0,0,12,11,0,24,14,11,1,0.264,0.328,0.383,0.711,0.115,85.3,1.16
10459,김태군,1989년 12월 30일,우투우타,양정초-대동중-부산고-방송통신대,08 LG 2차 3라운드 17순위,2025,KIA,36,C,100,1.24,0.53,274,266,236,20,61,10,1,5,88,31,0,0,17,10,1,20,9,8,3,0.258,0.331,0.373,0.704,0.111,92.3,1.77
10475,오지환,1990년 03월 12일,우투좌타,군산초-자양중-경기고,09 LG 1차,2022,LG,32,SS,142,5.96,0.56,569,565,494,75,133,16,4,25,232,87,20,7,62,7,2,107,11,3,3,0.269,0.357,0.47,0.827,0.155,139.8,6.52
10475,오지환,1990년 03월 12일,우투좌타,군산초-자양중-경기고,09 LG 1차,2023,LG,33,SS,126,4.82,0.35,502,498,422,65,113,24,3,8,167,62,16,7,64,8,0,82,4,4,4,0.268,0.371,0.396,0.767,0.144,127.0,5.17
10475,오지환,1990년 03월 12일,우투좌타,군산초-자양중-경기고,09 LG 1차,2024,LG,34,SS,108,2.77,0.33,428,426,370,67,94,24,2,10,152,59,17,4,51,4,0,106,8,2,1,0.254,0.35,0.411,0.761,0.136,104.5,3.09
